delta_um,F_uN
-0.000000000000000000e+00,0.000000000000000000e+00
1.610738255033556873e-02,-2.714274889471880448e-01
3.221476510067113747e-02,-5.337683249716240752e-01
4.832214765100670273e-02,-7.871167052851542056e-01
6.442953020134227493e-02,-1.031566744204027941e+00
8.053691275167784713e-02,-1.267212486978630537e+00
9.664429530201340546e-02,-1.494147927833550327e+00
1.127516778523489777e-01,-1.712467029771711502e+00
1.288590604026845499e-01,-1.922263746228342285e+00
1.449664429530201082e-01,-2.123632044663670726e+00
1.610738255033556943e-01,-2.316665932251562587e+00
1.771812080536912526e-01,-2.501459483737285439e+00
1.932885906040268109e-01,-2.678106871579904791e+00
2.093959731543623970e-01,-2.846702398336665496e+00
2.255033557046979553e-01,-3.007340531725786192e+00
2.416107382550335414e-01,-3.160115942164882341e+00
2.577181208053690997e-01,-3.305123542831177375e+00
2.738255033557046580e-01,-3.442458532806716320e+00
2.899328859060402164e-01,-3.572216442719916785e+00
3.060402684563758302e-01,-3.694493183586235574e+00
3.221476510067113885e-01,-3.809385098431283367e+00
3.382550335570469469e-01,-3.916989017110266147e+00
3.543624161073825052e-01,-4.017402314112171524e+00
3.704697986577180635e-01,-4.110722969546261041e+00
3.865771812080536218e-01,-4.197049633165818250e+00
4.026845637583892357e-01,-4.276481691794913331e+00
4.187919463087247940e-01,-4.349119339197972778e+00
4.348993288590603523e-01,-4.415063649988105965e+00
4.510067114093959106e-01,-4.474416654992829478e+00
4.671140939597314690e-01,-4.527281421428105190e+00
4.832214765100670828e-01,-4.573762133299343446e+00
4.993288590604026411e-01,-4.613964176587176169e+00
5.154362416107381994e-01,-4.647994224961287557e+00
5.315436241610738133e-01,-4.675960328032299884e+00
5.476510067114093161e-01,-4.697972001062421299e+00
5.637583892617449299e-01,-4.714140316045025259e+00
5.798657718120804327e-01,-4.724577993000888654e+00
5.959731543624160466e-01,-4.729399492094579216e+00
6.120805369127516604e-01,-4.728721104660081664e+00
6.281879194630871632e-01,-4.722661043717799600e+00
6.442953020134227771e-01,-4.711339532289802179e+00
6.604026845637582799e-01,-4.694878890234441826e+00
6.765100671140938937e-01,-4.673403616556278450e+00
6.926174496644295075e-01,-4.647040468278465397e+00
7.087248322147650104e-01,-4.615918534278218743e+00
