delta_um,F_uN
-0.000000000000000000e+00,0.000000000000000000e+00
1.263157894736842146e-01,-1.252090999999999898e-01
2.526315789473684292e-01,-2.502909999999999857e-01
3.789473684210526438e-01,-3.752911999999999915e-01
5.052631578947368585e-01,-5.002545000000000464e-01
6.315789473684210176e-01,-6.252256000000000480e-01
7.578947368421052877e-01,-7.502484999999999848e-01
8.842105263157895578e-01,-8.753670000000000062e-01
1.010526315789473717e+00,-1.000623999999999958e+00
1.136842105263157876e+00,-1.126063000000000036e+00
1.263157894736842035e+00,-1.251724999999999977e+00
1.389473684210526416e+00,-1.377653000000000016e+00
1.515789473684210575e+00,-1.503887999999999892e+00
1.642105263157894735e+00,-1.630468999999999946e+00
1.768421052631579116e+00,-1.757438000000000056e+00
1.894736842105263275e+00,-1.884835000000000038e+00
2.021052631578947434e+00,-2.012697999999999876e+00
2.147368421052631593e+00,-2.141065999999999914e+00
2.273684210526315752e+00,-2.269979000000000191e+00
2.399999999999999911e+00,-2.399474000000000107e+00
