method,F_push_uN,F_pop_uN,push_pop_ratio,delta_snap_um,total_travel_um
uniform_cosine,250.868457,-15.177326,0.0605,2.4000,2.4000
ccs_beam,382.367909,-17.544283,0.0459,2.4000,2.4000
