delta_um,F_uN
-0.000000000000000000e+00,0.000000000000000000e+00
1.206030150753768793e-02,-2.663822637321189291e-02
2.412060301507537585e-02,-5.327140030411858795e-02
3.618090452261306378e-02,-7.989959733018470178e-02
4.824120603015075170e-02,-1.065228929689503445e-01
6.030150753768843963e-02,-1.331413627190978222e-01
7.236180904522612756e-02,-1.597550820698967478e-01
8.442211055276381548e-02,-1.863641264973909806e-01
9.648241206030150341e-02,-2.129685714612006286e-01
1.085427135678391913e-01,-2.395684923996990179e-01
1.206030150753768793e-01,-2.661639647458002855e-01
1.326633165829145811e-01,-2.927550639207971983e-01
1.447236180904522551e-01,-3.193418653094122206e-01
1.567839195979899292e-01,-3.459244443141908931e-01
1.688442211055276310e-01,-3.725028762894204704e-01
1.809045226130653328e-01,-3.990772366153914064e-01
1.929648241206030068e-01,-4.256476006239209298e-01
2.050251256281406809e-01,-4.522140436441945965e-01
2.170854271356783827e-01,-4.787766409938418732e-01
2.291457286432160845e-01,-5.053354679783890191e-01
2.412060301507537585e-01,-5.318905998986194206e-01
2.532663316582914326e-01,-5.584421119909661613e-01
2.653266331658291621e-01,-5.849900795373219609e-01
2.773869346733668362e-01,-6.115345778006595623e-01
2.894472361809045102e-01,-6.380756820243629335e-01
3.015075376884421843e-01,-6.646134673770474066e-01
3.135678391959798583e-01,-6.911480091079500454e-01
3.256281407035175879e-01,-7.176793823717613208e-01
3.376884422110552619e-01,-7.442076624047100353e-01
3.497487437185929360e-01,-7.707329243429708043e-01
3.618090452261306655e-01,-7.972552433274344708e-01
3.738693467336683396e-01,-8.237746945259729614e-01
3.859296482412060136e-01,-8.502913530241933415e-01
3.979899497487436877e-01,-8.768052939926178624e-01
4.100502512562813617e-01,-9.033165924849502204e-01
4.221105527638190913e-01,-9.298253236280125122e-01
4.341708542713567653e-01,-9.563315624471417919e-01
4.462311557788944394e-01,-9.828353840859804791e-01
4.582914572864321689e-01,-1.009336863498427661e+00
4.703517587939698430e-01,-1.035836075767424092e+00
4.824120603015075170e-01,-1.062333095957985307e+00
4.944723618090451911e-01,-1.088827998980972822e+00
5.065326633165828651e-01,-1.115320859910641005e+00
5.185929648241205392e-01,-1.141811753696710952e+00
5.306532663316583243e-01,-1.168300755320007767e+00
5.427135678391959983e-01,-1.194787939760537654e+00
5.547738693467336724e-01,-1.221273381980321204e+00
5.668341708542713464e-01,-1.247757156837758785e+00
5.788944723618090205e-01,-1.274239339285678341e+00
5.909547738693466945e-01,-1.300720004270223384e+00
6.030150753768843686e-01,-1.327199226705278789e+00
6.150753768844220426e-01,-1.353677081435762375e+00
6.271356783919597166e-01,-1.380153643242742589e+00
6.391959798994975017e-01,-1.406628987089703742e+00
6.512562814070351758e-01,-1.433103187910589327e+00
6.633165829145728498e-01,-1.459576320312262254e+00
6.753768844221105239e-01,-1.486048459305070679e+00
6.874371859296481979e-01,-1.512519679590937471e+00
6.994974874371858720e-01,-1.538990056009751584e+00
7.115577889447235460e-01,-1.565459663386782552e+00
7.236180904522613311e-01,-1.591928576417721786e+00
7.356783919597990051e-01,-1.618396869848051978e+00
7.477386934673366792e-01,-1.644864618508076859e+00
7.597989949748743532e-01,-1.671331897142941614e+00
7.718592964824120273e-01,-1.697798780320020740e+00
7.839195979899497013e-01,-1.724265342936988077e+00
7.959798994974873754e-01,-1.750731659554073616e+00
8.080402010050250494e-01,-1.777197804968977835e+00
8.201005025125627235e-01,-1.803663853787984550e+00
8.321608040201005085e-01,-1.830129880652528129e+00
8.442211055276381826e-01,-1.856595960240237986e+00
8.562814070351758566e-01,-1.883062167120893804e+00
8.683417085427135307e-01,-1.909528576130576027e+00
8.804020100502512047e-01,-1.935995261686045410e+00
8.924623115577888788e-01,-1.962462298359753277e+00
9.045226130653265528e-01,-1.988929760854809103e+00
9.165829145728643379e-01,-2.015397723779152273e+00
9.286432160804020119e-01,-2.041866261517931491e+00
9.407035175879396860e-01,-2.068335448811478017e+00
9.527638190954773600e-01,-2.094805360058309418e+00
9.648241206030150341e-01,-2.121276069892694238e+00
9.768844221105527081e-01,-2.147747652751458958e+00
9.889447236180903822e-01,-2.174220183120187500e+00
1.001005025125628167e+00,-2.200693735672437867e+00
1.013065326633165730e+00,-2.227168384614916619e+00
1.025125628140703515e+00,-2.253644204638401760e+00
1.037185929648241078e+00,-2.280121270077579254e+00
1.049246231155778863e+00,-2.306599655389362624e+00
1.061306532663316649e+00,-2.333079435067986651e+00
1.073366834170854212e+00,-2.359560683493711508e+00
1.085427135678391997e+00,-2.386043475083905463e+00
1.097487437185929560e+00,-2.412527884118340182e+00
1.109547738693467345e+00,-2.439013985211111901e+00
1.121608040201004908e+00,-2.465501852516247538e+00
1.133668341708542693e+00,-2.491991560660203220e+00
1.145728643216080256e+00,-2.518483183577604478e+00
1.157788944723618041e+00,-2.544976795982147877e+00
1.169849246231155826e+00,-2.571472472090647443e+00
1.181909547738693389e+00,-2.597970286147671004e+00
1.193969849246231174e+00,-2.624470312491339996e+00
1.206030150753768737e+00,-2.650972625417949757e+00
1.218090452261306522e+00,-2.677477299232357666e+00
1.230150753768844085e+00,-2.703984408177472432e+00
1.242211055276381870e+00,-2.730494026470779545e+00
1.254271356783919433e+00,-2.757006228465407105e+00
1.266331658291457218e+00,-2.783521088170886060e+00
1.278391959798995003e+00,-2.810038680118815080e+00
1.290452261306532566e+00,-2.836559078294847325e+00
1.302512562814070352e+00,-2.863082356954073759e+00
1.314572864321607915e+00,-2.889608590363337726e+00
1.326633165829145700e+00,-2.916137852588697399e+00
1.338693467336683263e+00,-2.942670217859877368e+00
1.350753768844221048e+00,-2.969205760328627264e+00
1.362814070351758833e+00,-2.995744554117734992e+00
1.374874371859296396e+00,-3.022286673341547214e+00
1.386934673366834181e+00,-3.048832192157874488e+00
1.398994974874371744e+00,-3.075381184675634927e+00
1.411055276381909529e+00,-3.101933724881249077e+00
1.423115577889447092e+00,-3.128489887187242857e+00
1.435175879396984877e+00,-3.155049745268073025e+00
1.447236180904522662e+00,-3.181613373442836235e+00
1.459296482412060225e+00,-3.208180845652350399e+00
1.471356783919598010e+00,-3.234752236019993177e+00
1.483417085427135573e+00,-3.261327618602543055e+00
1.495477386934673358e+00,-3.287907067327033417e+00
1.507537688442210921e+00,-3.314490656243293643e+00
1.519597989949748706e+00,-3.341078459471560791e+00
1.531658291457286269e+00,-3.367670550777560834e+00
1.543718592964824055e+00,-3.394267004411275934e+00
1.555778894472361840e+00,-3.420867894154163480e+00
1.567839195979899403e+00,-3.447473294000396038e+00
1.579899497487437188e+00,-3.474083277908519563e+00
1.591959798994974751e+00,-3.500697919876884612e+00
1.604020100502512536e+00,-3.527317293875313453e+00
1.616080402010050099e+00,-3.553941473612638902e+00
1.628140703517587884e+00,-3.580570533323914617e+00
1.640201005025125447e+00,-3.607204546685508717e+00
1.652261306532663232e+00,-3.633843587671769626e+00
1.664321608040201017e+00,-3.660487730203193735e+00
1.676381909547738580e+00,-3.687137048060961320e+00
1.688442211055276365e+00,-3.713791615171679439e+00
1.700502512562813928e+00,-3.740451505428580958e+00
1.712562814070351713e+00,-3.767116792609435549e+00
1.724623115577889276e+00,-3.793787550689948773e+00
1.736683417085427061e+00,-3.820463853377397356e+00
1.748743718592964846e+00,-3.847145774521202100e+00
1.760804020100502409e+00,-3.873833387942660522e+00
1.772864321608040195e+00,-3.900526767377336057e+00
1.784924623115577758e+00,-3.927225986875001240e+00
1.796984924623115543e+00,-3.953931120071160876e+00
1.809045226130653106e+00,-3.980642240562161760e+00
1.821105527638190891e+00,-4.007359422486210576e+00
1.833165829145728676e+00,-4.034082739477739210e+00
1.845226130653266239e+00,-4.060812265118116215e+00
1.857286432160804024e+00,-4.087548073360999012e+00
1.869346733668341587e+00,-4.114290237990132937e+00
1.881407035175879372e+00,-4.141038832482145438e+00
1.893467336683416935e+00,-4.167793930895854260e+00
1.905527638190954720e+00,-4.194555606888698662e+00
1.917587939698492283e+00,-4.221323933885678059e+00
1.929648241206030068e+00,-4.248098985948786321e+00
1.941708542713567853e+00,-4.274880836707922072e+00
1.953768844221105416e+00,-4.301669559788713570e+00
1.965829145728643201e+00,-4.328465228800823184e+00
1.977889447236180764e+00,-4.355267917717775106e+00
1.989949748743718549e+00,-4.382077700003542020e+00
2.002010050251256335e+00,-4.408894649230475693e+00
2.014070351758793898e+00,-4.435718839510862210e+00
2.026130653266331461e+00,-4.462550344206356101e+00
2.038190954773869468e+00,-4.489389236719617315e+00
2.050251256281407031e+00,-4.516235591171984254e+00
2.062311557788944594e+00,-4.543089481173979038e+00
2.074371859296482157e+00,-4.569950980125859985e+00
2.086432160804020164e+00,-4.596820161792606996e+00
2.098492462311557727e+00,-4.623697099948799405e+00
2.110552763819095290e+00,-4.650581867986225859e+00
2.122613065326633297e+00,-4.677474539848219592e+00
2.134673366834170860e+00,-4.704375188510574901e+00
2.146733668341708423e+00,-4.731283888476170318e+00
2.158793969849245986e+00,-4.758200712953652101e+00
2.170854271356783993e+00,-4.785125735613583231e+00
2.182914572864321556e+00,-4.812059029858012593e+00
2.194974874371859119e+00,-4.839000669568399360e+00
2.207035175879396682e+00,-4.865950728276033033e+00
2.219095477386934689e+00,-4.892909279562900338e+00
2.231155778894472252e+00,-4.919876397017183933e+00
2.243216080402009815e+00,-4.946852154602908058e+00
2.255276381909547823e+00,-4.973836625256524258e+00
2.267336683417085386e+00,-5.000829883382770902e+00
2.279396984924622949e+00,-5.027832001831868070e+00
2.291457286432160512e+00,-5.054843054712257810e+00
2.303517587939698519e+00,-5.081863115429129607e+00
2.315577889447236082e+00,-5.108892257620709643e+00
2.327638190954773645e+00,-5.135930554995567832e+00
2.339698492462311652e+00,-5.162978080909070400e+00
2.351758793969849215e+00,-5.190034909395684792e+00
2.363819095477386778e+00,-5.217101113629482256e+00
2.375879396984924341e+00,-5.244176767699130437e+00
2.387939698492462348e+00,-5.271261944519324061e+00
2.399999999999999911e+00,-5.298356718323091741e+00
