disp_um,F_uniform_uN,F_ccs_uN
3.772575250836119887e-01,1.270515773477768562e+00,2.028302582740849402e+00
3.852842809364548371e-01,1.298669758810511610e+00,2.061775043979722000e+00
3.933110367892975745e-01,1.325787882080724955e+00,2.093890958260388402e+00
4.013377926421404229e-01,1.351876781598548405e+00,2.124659276243320960e+00
4.093645484949832714e-01,1.376943071648149441e+00,2.154088904977584207e+00
4.173913043478261198e-01,1.400993343011776915e+00,2.182188708311642245e+00
4.254180602006688572e-01,1.424034163547474918e+00,2.208967507370942940e+00
4.334448160535115946e-01,1.446072078821941886e+00,2.234434081104708980e+00
4.414715719063544430e-01,1.467113612801782097e+00,2.258597166906582743e+00
4.494983277591972914e-01,1.487165268606176483e+00,2.281465461312862431e+00
4.575250836120401399e-01,1.506233529323310449e+00,2.303047620782223248e+00
4.655518394648828773e-01,1.524324858894289036e+00,2.323352262561797943e+00
4.735785953177257257e-01,1.541445703067722661e+00,2.342387965643467851e+00
4.816053511705684631e-01,1.557602490427996145e+00,2.360163271816375641e+00
4.896321070234113115e-01,1.572801633500077401e+00,2.376686686818729299e+00
4.976588628762541600e-01,1.587049529936933823e+00,2.391966681596116473e+00
5.056856187290968974e-01,1.600352563789840588e+00,2.406011693670237150e+00
5.137123745819397458e-01,1.612717106867464167e+00,2.418830128624335885e+00
5.217391304347825942e-01,1.624149520187785356e+00,2.430430361711216847e+00
5.297658862876253316e-01,1.634656155526172938e+00,2.440820739589739219e+00
5.377926421404681800e-01,1.644243357063260191e+00,2.450009582196003066e+00
5.458193979933110285e-01,1.652917463138692256e+00,2.458005184756302697e+00
5.538461538461537659e-01,1.660684808113572331e+00,2.464815819948128706e+00
5.618729096989966143e-01,1.667551724346196806e+00,2.470449740216423606e+00
5.698996655518393517e-01,1.673524544287161575e+00,2.474915180252892810e+00
5.779264214046822001e-01,1.678609602696255365e+00,2.478220359644751625e+00
5.859531772575250486e-01,1.682813238987833415e+00,2.480373485702159542e+00
5.939799331103677860e-01,1.686141799708607891e+00,2.481382756470978279e+00
6.020066889632106344e-01,1.688601641152516208e+00,2.481256363939834841e+00
6.100334448160534828e-01,1.690199132118650027e+00,2.480002497450044530e+00
6.180602006688962202e-01,1.690940656815627108e+00,2.477629347316124608e+00
6.260869565217390686e-01,1.690832617918616165e+00,2.474145108666306214e+00
6.341137123745819171e-01,1.689881439783633255e+00,2.469557985512381038e+00
6.421404682274246545e-01,1.688093571823415573e+00,2.463876195056698748e+00
6.501672240802675029e-01,1.685475492049945956e+00,2.457107972246149075e+00
6.581939799331103513e-01,1.682033710788971348e+00,2.449261574582692447e+00
6.662207357859530887e-01,1.677774774569712690e+00,2.440345287198724122e+00
6.742474916387959372e-01,1.672705270194541072e+00,2.430367428206380964e+00
6.822742474916386746e-01,1.666831828993977638e+00,2.419336354331136363e+00
6.903010033444815230e-01,1.660161131268012014e+00,2.407260466836120827e+00
6.983277591973243714e-01,1.652699910920034654e+00,2.394148217748181651e+00
7.063545150501671088e-01,1.644454960284335243e+00,2.380008116392147599e+00
7.143812709030099573e-01,1.635433135150478279e+00,2.364848736241526694e+00
7.224080267558528057e-01,1.625641359986786938e+00,2.348678722093637816e+00
7.304347826086955431e-01,1.615086633363347346e+00,2.331506797574661505e+00
7.384615384615383915e-01,1.603776033575684323e+00,2.313341772980635369e+00
7.464882943143812399e-01,1.591716724469549149e+00,2.294192553460376871e+00
7.545150501672239773e-01,1.578915961464247175e+00,2.274068147542749330e+00
7.625418060200668258e-01,1.565381097773510533e+00,2.252977676010942787e+00
7.705685618729096742e-01,1.551119590820803751e+00,2.230930381126881912e+00
7.785953177257524116e-01,1.536139008843861120e+00,2.207935636202535079e+00
7.866220735785952600e-01,1.520447037683055669e+00,2.184002955517826194e+00
7.946488294314379974e-01,1.504051487747602778e+00,2.159142004580758112e+00
8.026755852842808459e-01,1.486960301148457120e+00,2.133362610722116415e+00
8.107023411371236943e-01,1.469181558989845371e+00,2.106674774017534446e+00
8.187290969899664317e-01,1.450723488806232808e+00,2.079088678523874023e+00
8.267558528428092801e-01,1.431594472129987139e+00,2.050614703815313078e+00
8.347826086956521285e-01,1.411803052175187645e+00,2.021263436802598790e+00
8.428093645484948659e-01,1.391357941617513916e+00,1.991045683812671996e+00
8.508361204013377144e-01,1.370268030450276342e+00,1.959972482903708624e+00
8.588628762541805628e-01,1.348542393894447855e+00,1.928055116387184853e+00
8.668896321070233002e-01,1.326190300335639449e+00,1.895305123522831536e+00
8.749163879598661486e-01,1.303221219260805697e+00,1.861734313347938041e+00
8.829431438127088860e-01,1.279644829164837461e+00,1.827354777600277203e+00
8.909698996655517345e-01,1.255471025391699413e+00,1.792178903683605995e+00
8.989966555183945829e-01,1.230249012401941400e+00,1.756219387627254491e+00
9.070234113712373203e-01,1.201286648049233463e+00,1.719489246977673247e+00
9.150501672240801687e-01,1.168848635260644642e+00,1.682001833560860860e+00
