["port 1","LEFT"]
["port 2","TOP"]
["port 3","RIGHT"]
["port 4","BOTTOM"]
("port 1","mode 1",1,"port 1",1,"transmission")
(101, 3)
1.9136751902333334e+014 5.5342929636737559e-003 2.9166419905735110e+000
1.9149243254750000e+014 5.7694628514834310e-003 2.9870089247153722e+000
1.9161734607166666e+014 5.9384534000277113e-003 3.0653294067914287e+000
1.9174225959583334e+014 6.0329318144973186e-003 3.1490762368303460e+000
1.9186717312000000e+014 6.0484615789982007e-003 3.2360735637594957e+000
1.9199208664416666e+014 5.9842198482306487e-003 3.3243696651284811e+000
1.9211700016833334e+014 5.8427417375287007e-003 3.4121161024334610e+000
1.9224191369250000e+014 5.6296743822392779e-003 3.4974524442183141e+000
1.9236682721666666e+014 5.3535352936134109e-003 3.5783915388740528e+000
1.9249174074083334e+014 5.0254803011800650e-003 3.6527014931387685e+000
1.9261665426500000e+014 4.6590927734763482e-003 3.7177878407529761e+000
1.9274156778916666e+014 4.2702015835573608e-003 3.7705988173552289e+000
1.9286648131333334e+014 3.8767052228606165e-003 3.8076209299644352e+000
1.9299139483750000e+014 3.4982915581569280e-003 3.8251180455699942e+000
1.9311630836166666e+014 3.1557510637979761e-003 3.8198872533637536e+000
1.9324122188583331e+014 2.8692955173047789e-003 3.7908243217142696e+000
1.9336613541000000e+014 2.6552128033290896e-003 3.7411128524215775e+000
1.9349104893416666e+014 2.5210977040063011e-003 3.6795777602747735e+000
1.9361596245833331e+014 2.4620715534557475e-003 3.6189741997986093e+000
1.9374087598250000e+014 2.4574734751751995e-003 3.5721273569865946e+000
1.9386578950666666e+014 2.4877867609440266e-003 3.5452136825189400e+000
1.9399070303083331e+014 2.5296134105935422e-003 3.5401331624289516e+000
1.9411561655500000e+014 2.5632887741491028e-003 3.5552558761839133e+000
1.9424053007916666e+014 2.5741818372470131e-003 3.5874869662041187e+000
1.9436544360333331e+014 2.5523787838589908e-003 3.6335835168534483e+000
1.9449035712750000e+014 2.4917907360158557e-003 3.6907517552379736e+000
1.9461527065166666e+014 2.3892211586861454e-003 3.7568360192814376e+000
1.9474018417583331e+014 2.2435795552994313e-003 3.8303453452865526e+000
