
                        S T E P       1


                                INCREMENT     1


 forces (fx,fy,fz) for set SHUTTLE and time  0.5000000E-01

       398  2.047703E-10 -1.324238E+00  4.650794E-15
       399  6.607696E-12  2.688346E-01  2.246467E-16
       400  6.409283E-12  2.583729E-01 -7.314028E-16
       401  1.125547E-10 -1.292028E+00  1.531761E-15
      1007  1.883371E-10  2.629186E-01  9.248082E-15
      1198  1.599024E-10  2.899349E-01 -7.381357E-15
      1352  1.762143E-10  5.694942E-01 -1.407728E-15
      1353  1.428279E-10  2.131681E-01 -2.563325E-16
      1468  1.477949E-10  5.421722E-01 -1.030426E-15
      1520  1.104068E-10  1.961464E-01 -1.524714E-15

 total force (fx,fy,fz) for set SHUTTLE and time  0.5000000E-01

        1.255825E-09 -1.522396E-02  3.323324E-15

                                INCREMENT     2


 forces (fx,fy,fz) for set SHUTTLE and time  0.1000000E+00

       398 -2.373377E-14 -2.646215E+00  9.447304E-15
       399 -1.482020E-14  5.377756E-01  1.292369E-16
       400  3.091090E-15  5.166064E-01 -1.387779E-15
       401 -5.824564E-14 -2.586156E+00  9.818535E-16
      1007  1.796845E-14  5.259618E-01  1.433662E-14
      1198 -5.216953E-15  5.800620E-01 -1.142164E-14
      1352  1.610709E-14  1.139023E+00 -2.964642E-15
      1353  1.037831E-14  4.263556E-01 -2.362477E-16
      1468  4.619510E-14  1.084151E+00 -2.015749E-15
      1520 -6.710852E-14  3.919906E-01 -8.500796E-15

 total force (fx,fy,fz) for set SHUTTLE and time  0.1000000E+00

       -7.538505E-14 -3.044529E-02 -1.631833E-15

                                INCREMENT     3


 forces (fx,fy,fz) for set SHUTTLE and time  0.1750000E+00

       398  9.755803E-14 -4.624924E+00  1.525863E-14
       399 -3.074184E-15  9.413812E-01  8.068199E-15
       400 -2.631454E-15  9.036907E-01 -1.584670E-15
       401 -2.378740E-15 -4.531270E+00  9.242607E-15
      1007 -2.503877E-14  9.207591E-01  3.856225E-14
      1198 -9.979109E-14  1.015612E+00 -4.336657E-14
      1352  5.370482E-14  1.993371E+00 -6.272760E-15
      1353 -7.928191E-15  7.461712E-01 -1.013631E-14
      1468 -8.355734E-14  1.896746E+00 -1.033895E-14
      1520  1.021771E-13  6.851904E-01  6.123574E-16

 total force (fx,fy,fz) for set SHUTTLE and time  0.1750000E+00

        2.904019E-14 -5.327254E-02  4.477755E-17

                                INCREMENT     4


 forces (fx,fy,fz) for set SHUTTLE and time  0.2875000E+00

       398 -2.581683E-13 -7.583364E+00  1.702805E-14
       399 -5.610773E-15  1.547211E+00  1.194878E-14
       400  3.803746E-14  1.483704E+00 -9.483733E-15
       401 -1.517647E-13 -7.457711E+00  3.913536E-15
      1007  2.102433E-13  1.513475E+00  5.603677E-14
      1198  2.649131E-13  1.669740E+00 -3.950312E-14
      1352 -1.179787E-13  3.274987E+00 -3.594347E-15
      1353  5.809416E-14  1.225965E+00 -1.617846E-15
      1468  2.712025E-13  3.114774E+00  9.228729E-16
      1520 -3.609402E-13  1.123715E+00 -1.453612E-14

 total force (fx,fy,fz) for set SHUTTLE and time  0.2875000E+00

       -5.197210E-14 -8.750347E-02  2.111484E-14

                                INCREMENT     5


 forces (fx,fy,fz) for set SHUTTLE and time  0.4562500E+00

       398  1.866181E-13 -1.199921E+01  5.256906E-14
       399 -3.506421E-14  2.456853E+00  2.018177E-14
       400 -4.348528E-14  2.352295E+00 -1.043957E-14
       401 -3.372988E-13 -1.186692E+01  4.704570E-15
      1007  1.817711E-13  2.403709E+00  1.907459E-14
      1198 -5.976683E-13  2.652724E+00 -2.696758E-14
      1352 -3.048885E-14  5.197517E+00 -6.431661E-14
      1353 -1.370992E-14  1.945793E+00  2.803183E-14
      1468  3.316739E-13  4.939780E+00 -4.239664E-14
      1520 -4.037486E-13  1.778633E+00  2.261993E-14

 total force (fx,fy,fz) for set SHUTTLE and time  0.4562500E+00

       -7.614008E-13 -1.388297E-01  3.061353E-15

                                INCREMENT     6


 forces (fx,fy,fz) for set SHUTTLE and time  0.6562500E+00

       398 -3.759571E-13 -1.719858E+01  1.890155E-14
       399  5.584292E-15  3.536232E+00  3.696002E-14
       400  1.217112E-13  3.379414E+00  3.816392E-17
       401  6.080639E-14 -1.712265E+01 -3.458345E-14
      1007 -3.797937E-13  3.460579E+00  8.226666E-14
      1198  3.200249E-13  3.820493E+00 -9.347731E-14
      1352  6.531321E-14  7.476023E+00 -5.342948E-14
      1353 -2.333738E-14  2.799089E+00  3.375251E-14
      1468  1.822629E-13  7.099392E+00 -5.265233E-14
      1520 -2.269581E-13  2.550373E+00  3.973558E-14

 total force (fx,fy,fz) for set SHUTTLE and time  0.6562500E+00

       -2.503433E-13 -1.996344E-01 -2.248809E-14

                                INCREMENT     7


 forces (fx,fy,fz) for set SHUTTLE and time  0.8562500E+00

       398  4.140421E-13 -2.236043E+01  5.395684E-14
       399  1.151262E-13  4.616863E+00  1.751377E-14
       400 -4.520982E-14  4.403885E+00 -2.510492E-14
       401 -4.811984E-13 -2.241039E+01 -5.162537E-14
      1007  1.475739E-12  4.519351E+00  2.429654E-14
      1198 -1.436053E-12  4.991201E+00 -5.253090E-14
      1352  2.168404E-14  9.754203E+00 -4.046763E-14
      1353  7.808321E-14  3.652503E+00 -1.757709E-14
